vocab_id,en_vocab
1,ability
2,accident
3,accordingly
4,actually
5,adjustment
6,advanced
7,advise
8,agree
9,airline
10,amend
11,annoying
12,appetizer
13,appointment
14,approach
15,argue
16,assets
17,attach
18,audience
19,avoid
20,abroad
21,accommodate
22,accounting
23,adapt
24,administration
25,advantage
26,affect
27,agreeable
28,aisle
29,amount
30,annual
31,appliance
32,appreciable
33,appropriate
34,argument
35,assign
36,attachment
37,audit
38,awareness
39,absolutely
40,accommodation
41,accurate
42,adapter
43,admire
44,advantageous
45,afford
46,agreement
47,alarm
48,amusing
49,anticipate
50,applicant
51,appreciate
52,approve
53,arrange
54,assignment
55,attend
56,authority
57,awkward
58,accept
59,accomplish
60,achieve
61,additional
62,admit
63,advertise
64,affordable
65,agricultural
66,allow
67,analysis
68,anxious
69,application
70,appreciation
71,approximate
72,arrangement
73,assist
74,attendance
75,authorize
76,access
77,accomplishment
78,acquire
79,adequate
80,admittance
81,advertisement
82,agency
83,aid
84,alternative
85,analyze / analyse
86,apologize
87,apply
88,appreciative
89,arbitrate
90,assemble
91,assistance
92,attentively
93,availability
94,accessible
95,according
96,act
97,adjust
98,advance
99,advice
100,agenda
101,aim
102,ambitious
103,announcement
104,appeal
105,appoint
106,apprentice
107,area
108,assess
109,assume
110,attract
111,available
112,background
113,barcode
114,benefit
115,block
116,boost
117,brand
118,brush
119,backpack
120,bargain
121,beverage
122,board
123,bored
124,briefcase
125,budget
126,baggage claim
127,basic
128,bid
129,boarding pass
130,borrow
131,briefing
132,bulletin
133,balance
134,behave
135,bill
136,boardroom
137,bother
138,broadcast
139,bank
140,belongings
141,binder
142,boast
143,bottom line
144,broaden
145,bankrupt
146,beneficial
147,blanket
148,book
149,branch
150,browser
151,cabin crew
152,cancel
153,career
154,celebrate
155,chain store
156,charge
157,circumstances
158,client
159,commence
160,commute
161,compensate
162,complain
163,complimentary
164,concern
165,confirm
166,consider
167,constant
168,consumer
169,contribute
170,convince
171,courier
172,credit
173,crucial
174,cafeteria
175,cancellation
176,careless
177,celebration
178,chair
179,charity
180,claim
181,climate
182,commission
183,commuter
184,compensation
185,complaint
186,comply
187,conclude
188,confirmation
189,considerable
190,constantly
191,contain
192,contribution
193,convincing
194,cover letter
195,criteria
196,cruise
197,calculate
198,candidacy
199,cash
200,cell phone
201,chairman
202,cheap
203,claimant
204,closure
205,commit
206,company
207,competent
208,complete
209,comprehensive
210,conclusion
211,confusion
212,consignment
213,construction
214,container
215,control
216,corporate
217,coverage
218,critical
219,currency
220,calculation
221,candidate
222,cashier
223,certificate
224,chairperson
225,check in
226,classification
227,coach
228,committee
229,comparable
230,competition
231,complex
232,compromise
233,concourse
234,connect
235,consist
236,consult
237,continual
238,control panel
239,corporation
240,coworker
241,criticize
242,current
243,calculator
244,capacity
245,cause
246,certification
247,characteristic
248,check out
249,classify
250,code
251,common
252,compare
253,competitive
254,complexity
255,compulsory
256,condition
257,connection
258,consistent
259,consultant
260,continuation
261,convenient
262,cost
263,crash
264,crowd
265,custom
266,campaign
267,capital
268,cautious
269,chain
270,characterize
271,chef
272,clerk
273,collect
274,commonly
275,compatible
276,competitor
277,compliment
278,concede
279,conduct
280,consequence
281,consistently
282,consume
283,continue
284,conveniently
285,counter
286,credentials
287,crowded
288,customer
289,daily
290,decision
291,defective
292,delight
293,demonstrate
294,deposit
295,detail
296,develop
297,director
298,discrepancy
299,dismissive
300,distinctive
301,donate
302,downward
303,drive
304,damage
305,decorate
306,definite
307,delighted
308,depart
309,description
310,detailed
311,developer
312,disagree
313,discrimination
314,display
315,distinguish
316,donation
317,dramatic
318,drop
319,deadline
320,decrease
321,definitely
322,deliver
323,department
324,designate
325,detect
326,development
327,disagreement
328,discuss
329,disposable
330,distribute
331,double
332,drastic
333,dull
334,deal
335,dedicate
336,degree
337,delivery
338,departure
339,desperate
340,deterioration
341,device
342,disappointing
343,discussion
344,dispose
345,distribution
346,download
347,drastically
348,duration
349,debit
350,deduct
351,delay
352,demand
353,depend on
354,dessert
355,determine
356,diagnose
357,disconnect
358,dish
359,dispute
360,dividend
361,downsize
362,draw
363,duty-free
364,debt
365,defect
366,delete
367,demanding
368,dependence
369,destination
370,determined
371,differential
372,discount
373,dismiss
374,disruption
375,document
376,downturn
377,drawer
378,earn
379,effectively
380,electrical
381,employ
382,encourage
383,enroll
384,entrée
385,evaluate
386,examine
387,expand
388,expensive
389,express
390,earnings
391,effectiveness
392,elevator
393,employee
394,endurance
395,ensure
396,environment
397,event
398,excel
399,expansion
400,experience
401,extend
402,economical
403,efficiency
404,embark
405,employer
406,endure
407,enterprise
408,environmental
409,evidence
410,excellent
411,expect
412,experienced
413,extension
414,economize
415,efficient
416,emergency
417,employment
418,engineer
419,enthusiastic
420,equivalent
421,evolve
422,excursion
423,expectation
424,experiment
425,external
426,economy
427,efficiently
428,emphasize
429,enable
430,engineering
431,enthusiastically
432,essential
433,exact
434,executive
435,expenditure
436,exploration
437,effective
438,elderly
439,emphasize
440,enclose
441,enhance
442,entitlement
443,estimate
444,examination
445,exhibit
446,expense
447,explore
448,facilities
449,fair
450,fax
451,file
452,flexible
453,focused
454,forget
455,frankly
456,furniture
457,facility
458,famed
459,feature
460,fill out
461,flight
462,fold
463,forgetful
464,fuel
465,further
466,factor
467,fare
468,fee
469,finance
470,flight attendant
471,folder
472,form
473,fulfill
474,factory
475,fault
476,feedback
477,financial
478,fluctuate
479,force
480,forward
481,function
482,fail
483,faulty
484,field
485,firm
486,fluctuation
487,forecast
488,founded
489,functional
490,failure
491,favor
492,figure
493,fix
494,focus
495,foreign
496,frank
497,fundraising
498,gesture
499,growth
500,goal
501,guarantee
502,goods
503,guidelines
504,gradually
505,grievance
506,grill
507,haggle
508,head office
509,highly
510,handle
511,headquarters
512,hike
513,handy
514,hesitate
515,hire
516,harbor
517,hesitation
518,hold
519,harmful
520,hide
521,homepage
522,hazardous
523,highlight
524,host
525,identification
526,impatient
527,improvement
528,inconvenience
529,inexperienced
530,information
531,insure
532,international
533,invention
534,invite
535,itinerary
536,identify
537,implement
538,incentive
539,increase
540,infer
541,input
542,intend
543,internship
544,inventory
545,invoice
546,imaginative
547,imply
548,inclined
549,indicate
550,inflate
551,inquiry
552,intention
553,interrupt
554,invest
555,isolate
556,immediate
557,impression
558,include
559,indication
560,inflation
561,install
562,intently
563,interview
564,investigate
565,issue
566,immediately
567,improper
568,inclusion
569,individual
570,influence
571,installation
572,intern
573,invaluable
574,investigation
575,item
576,impact
577,improve
578,income
579,individually
580,influential
581,insurance
582,internal
583,invent
584,investment
585,itemize
586,jealous
587,journal
588,jeopardize
589,journey
590,jeopardy
591,judge
592,jobless
593,justice
594,join
595,justification
596,joint
597,justify
598,keen
599,keep
600,knock
601,know
602,knowledge
603,knowledgeable
604,label
605,law
606,lend
607,limousine
608,locate
609,luxury
610,labor
611,lay off
612,liability
613,list
614,log on
615,lack
616,leak
617,license
618,livestock
619,log out
620,landlord
621,lean
622,licensing
623,loan
624,loyal
625,laptop
626,lease
627,lie
628,lobby
629,luggage
630,launch
631,leisure
632,limited
633,local
634,luxurious
635,maintain
636,manufacture
637,medication
638,mention
639,million
640,mortgage
641,maintenance
642,manufacturing
643,medicine
644,merchandise
645,mishear
646,motivate
647,major
648,marketing
649,meeting
650,mere
651,misleading
652,motivation
653,manage
654,mechanic
655,membership
656,merge
657,misrepresent
658,managerial
659,medic
660,memo
661,merger
662,monitor
663,mandatory
664,medical
665,memorandum
666,mileage
667,monument
668,napkin
669,nomination
670,narrow
671,notice
672,narrowing
673,notify
674,neighborhood
675,network
676,nominate
677,objection
678,occupation
679,operation
680,organize
681,overall
682,objective
683,occur
684,opinion
685,organized
686,overdraft
687,obligation
688,officer
689,opportunity
690,original
691,overseas
692,oblige
693,official
694,optimistic
695,outline
696,overtime
697,obtain
698,onward
699,order
700,outlook
701,overview
702,obviously
703,operate
704,organization
705,outstanding
706,owe
707,package
708,passenger
709,performance
710,personnel
711,plow
712,polite
713,popularity
714,practical
715,premises
716,prevention
717,private
718,professional
719,progressive
720,promptly
721,publicize
722,package tour
723,patent
724,permanent
725,persuade
726,plug in
727,politician
728,position
729,practically
730,prepare
731,price
732,probability
733,profile
734,prohibit
735,properly
736,purchase
737,parcel
738,patented
739,permission
740,pessimistic
741,plumber
742,politics
743,postpone
744,predict
745,present
746,priceless
747,probably
748,profit
749,project
750,property
751,purpose
752,parking lot
753,patience
754,permit
755,plant
756,point
757,poll
758,postponement
759,predictable
760,presentation
761,principal
762,probationary
763,profitability
764,promote
765,protect
766,pursue
767,participant
768,payment
769,personal
770,platform
771,pointless
772,pollute
773,potential
774,prefer
775,press
776,principle
777,process
778,profitable
779,promotion
780,protection
781,particularly
782,perform
783,personalized
784,pleasant
785,policy
786,popular
787,power
788,preference
789,prevent
790,priority
791,profession
792,progress
793,prompt
794,publicity
795,qualification
796,qualified
797,qualify
798,questionnaire
799,quotation
800,quote
801,raise
802,reach
803,receive
804,recommend
805,redundant
806,regarding
807,regular
808,relaxation
809,reminder
810,rent
811,report
812,reschedule
813,resist
814,responsibility
815,retire
816,rival
817,range
818,realize
819,recent
820,recommendation
821,refrigerator
822,regardless
823,regularly
824,release
825,remittance
826,repair
827,represent
828,rescue
829,resolve
830,responsible
831,retirement
832,roadside
833,rare
834,rearrange
835,reception
836,recruit
837,refund
838,regional
839,regulate
840,relevant
841,remove
842,repayment
843,representative
844,resemble
845,respect
846,restore
847,review
848,roughly
849,rate
850,reasonable
851,receptive
852,recruitment
853,refundable
854,register
855,rehearse
856,remain
857,remuneration
858,repetitive
859,request
860,reservation
861,respectable
862,restructure
863,revise
864,route
865,rational
866,reasonably
867,recipe
868,reduce
869,refusal
870,registration
871,reject
872,remarkable
873,renovate
874,replace
875,require
876,reserve
877,respectful
878,résumé
879,revised
880,runway
881,raw materials
882,receipt
883,recognize
884,reduction
885,refuse
886,regret
887,relax
888,remind
889,renovation
890,replacement
891,requirement
892,resign
893,respond
894,retail
895,right away
896,salary
897,satisfy
898,search engine
899,selective
900,shape
901,shortage
902,slump
903,specialize
904,stadium
905,steep
906,studio
907,suggestion
908,supplier
909,switchboard
910,sale
911,save
912,secluded
913,seminar
914,sharp
915,shuttle
916,software
917,specialty
918,staff
919,stock
920,submit
921,suit
922,supply
923,systematic
924,salvage
925,scene
926,secretarial
927,senior
928,shift
929,sightseeing
930,solar
931,specification
932,stapler
933,strategic
934,subscribe
935,suitability
936,support
937,sample
938,scenery
939,secretary
940,serious
941,shine
942,significant
943,spacious
944,specify
945,stare
946,strategy
947,subscription
948,suitable
949,supporter
950,satisfactory
951,schedule
952,select
953,service
954,shipment
955,simplify
956,spare part
957,spectator
958,starter
959,streamline
960,subsidiary
961,supervise
962,surrounding
963,satisfied
964,scrutinize
965,selection
966,several
967,shipping
968,situation
969,spare time
970,stable
971,stationery
972,strike
973,suggest
974,supervision
975,suspicious
976,takeover
977,tenant
978,thorough
979,towel
980,training
981,tremendous
982,target
983,terminate
984,tidy
985,tower
986,transfer
987,trend
988,tax
989,terrible
990,tip
991,track
992,transform
993,trial
994,technical
995,terrific
996,tour
997,trade
998,transformation
999,triumph
1000,technician
1001,theoretical
1002,tourism
1003,tradition
1004,transit
1005,trust
1006,temporary
1007,theory
1008,tourist
1009,traffic
1010,transportation
1011,turnover
1012,unconditional
1013,unwrap
1014,utility bill
1015,understand
1016,upcoming
1017,unfavorable
1018,update
1019,unfortunately
1020,upgrade
1021,uniform
1022,upset
1023,unspoiled
1024,upstairs
1025,vacancy
1026,variety
1027,vital
1028,vacant
1029,various
1030,vacation
1031,vendor
1032,vaccination
1033,venture
1034,valuables
1035,venue
1036,varied
1037,virus
1038,wage
1039,warranty
1040,welfare
1041,workshop
1042,walkway
1043,wastage
1044,wholesale
1045,worth
1046,warehouse
1047,waterproof
1048,win
1049,worthless
1050,warn
1051,wealth
1052,withdraw
1053,wrap
1054,warning
1055,website
1056,withdrawal
1057,warrant
1058,weight
1059,workplace
1060,X-ray
1061,yearly
1062,yield
1063,youth
1064,zero
1065,zone